results_array_squad,array_truth
1970s,1970s
Fernando Wood,Fernando Wood
six years,six years
several,several
"$214,000 and $71,000","$214,000 and $71,000"
"phages will infect ""good"" bacteria","phages will infect ""good"" bacteria"
Truman Capote,Truman Capote
Julian Fontana,Albert Grzymała
"1,500","1,500"
Cadillac Records,White Rabbits
304.8,304.8
1830,1830
Tibetan lamas,the Tibetan lamas
Fridericus Franciscus,Fridericus Franciscus
Queen Tara,Queen Tara
to gain first-hand material of construction quality at the collapsed schools,to gain first-hand material of construction quality
25%,25%
At Last,At Last
1987,1987
Lord Howe,Lord Howe
WMA,WMA
Xerox,Xerox
Euterpe,Euterpe
SEGS CSP installation,354 MW SEGS CSP
Kingsley Amis,Kingsley Amis
Phagmodru myriarchy,the Phagmodru myriarchy
five,top five
mazurkas,mazurkas
Franz Oberhauser,Franz Oberhauser
iTunes Store,iTunes Store
"January 7, 2012","January 7, 2012"
12.2,12.2
"28,000 acres","over 28,000"
Israel and Cyprus,"United States, Canada and Australia"
R&B,R&B
perpetrators' access to the victims,perpetrators' access to the victims
iTunes,iTunes
2006,2006
thousands,thousands
1846,1846
Southern Gothic novel,Southern Gothic novel
horseback combat,horseback combat
nuance and sensitivity,nuance and sensitivity
PATCO Speedline,PATCO Speedline
Oro y Plata,Oro y Plata
the Karmapa,many different Tibetan lamas
late September 1831,September 1831
log chapel,Father Stephen Badin's old log chapel
a vertical shaft,a vertical shaft connecting the interior and exterior of a building
Ernst Stavro Blofeld,Ernst Stavro Blofeld
Prontosil,Prontosil
Ambroy Mieroszewski,Ambroży Mieroszewski
UNICEF,UNICEF
Sheyoncé pulled out of a $100 million with GateFive who alleged the cancellation meant the sacking of 70 staff and millions of pounds lost in development,out of court
September 2015,September 2015
lithium-ion,lithium-ion
2013,June 2005
Adam Zamoyski,Adam Zamoyski
$26 million,$26 million
Germany,Nazi Germany
2010,2010
Diamonds,Diamonds
Jeff Gerstmann,Jeff Gerstmann
$11 billion,$11 billion
From 1842 onwards,From 1842 onwards
Eastern Seaboard,PAL
80%,over 80%
a patient has proven or suspected infection,"a patient has proven or suspected infection, but the responsible microorganism is not yet unidentified"
The Warsaw Chopin Society,The Warsaw Chopin Society
Karol Szymanowski,Karol Szymanowski
"16,000","16,000"
Shenzhen Stock Exchange,Shenzhen Stock Exchange
Luigi Gregori,Luigi Gregori
The Center for Science in the Public Interest,Center for Science in the Public Interest
20,20
1963,1963
Woyciechowski,Woyciechowski
18th century,the 18th century
four,four
London,London
Atticus,"Scout, Jem, and Dill"
Jan Rodrigues,Jan Rodrigues
Omnicom Group,Omnicom Group
Skyfall,Skyfall
"174,000","174,000"
Spectre,Spectre
Padrón Real,Padrón Real
Forbes magazine,Forbes
strong,very strong
Peter Stuyvesant,Peter Stuyvesant
April 2013,April 2013
US$15.4 billion,$15.4 billion
government,the government
New York City Health and Hospitals Corporation,New York City Health and Hospitals Corporation
USA Today,USA Today
Second Avenue Subway,the Second Avenue Subway
National Park Service,National Park Service
France,Lorraine
1403,1403
Chinese central government,the Chinese central government
