Ticker,Returns,Volatility,company,Company,Industry,FullTimeEmployees,FiveYearAvgDividendYield,Beta,RegularMarketVolume,MarketCap,ProfitMargins,PriceToBook,NetIncomeToCommon,TotalRevenue,DebtToEquity,ReturnOnAssets,ReturnOnEquity,FreeCashFlow,OperatingCashFlow,GrossMargin,sharpe_ratio
MMM,0.010140149429604724,0.28268139804609055,3M Company,3M Company,Conglomerates,85000,4.36,0.995,3941321,68897603584,0.13451,14.842796,5321999872,32637999104,295.441,0.09032,1.1329399,3131124992,1987000064,0.45067,0.035871300692914346
AOS,0.0926918436657208,0.2923559820144132,A. O. Smith Corporation,A. O. Smith Corporation,Specialty Industrial Machinery,12000,1.73,1.149,709012,11008020480,0.14413,5.7432485,561200000,3893799936,7.471,0.14337,0.29544002,403024992,591200000,0.38209,0.3170512983077975
ABT,0.14670723709685696,0.24984233904766398,Abbott Laboratories,Abbott Laboratories,Medical Devices,114000,1.65,0.722,3005112,204197986304,0.13992,5.131189,5744000000,41216999424,37.589,0.06488,0.14840001,6404874752,8728000512,0.55907,0.5871992619668386
ABBV,0.17561016095384346,0.2645545810488428,AbbVie Inc.,AbbVie Inc.,Drug Manufacturers - General,50000,4.16,0.618,5098069,356396761088,0.09222999,52.5482,5079000064,55532998656,1039.994,,,,,0.7014,0.663795577674846
ACN,0.17723391283060916,0.27113140786261636,Accenture plc,Accenture plc,Information Technology Services,774000,1.35,1.239,1553803,215881498624,0.111940004,7.636488,7264786944,64896462848,14.127,0.11627,0.26674998,7641968128,9131027456,0.32609,0.6536827076869474
ADBE,0.21392753157997965,0.3643648418544741,Adobe Inc.,Adobe Inc.,Software - Infrastructure,29945,0.12,1.289,1583864,214122086400,0.25588,14.882056,5360000000,20946999296,41.788,0.15969,0.35355,6618500096,6732000256,0.88657,0.5871245164357034
AMD,0.5382844981410756,0.5455053951562092,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",Semiconductors,26000,,1.695,26932052,229887262720,0.07516,4.034633,1826000000,24295000064,3.927,0.01249,0.03262,2221374976,2123000064,0.52122,0.986762922824868
AES,0.1628332299431628,0.35958028359718747,The AES Corporation,The AES Corporation,Utilities - Diversified,9600,3.07,1.07,14292778,11028029440,0.08344,3.3520641,1025000000,12284000256,352.879,0.028369999,-0.02549,-8318249984,2388999936,0.19440001,0.4528424871191587
AFL,0.19975902817956476,0.2893863444235872,Aflac Incorporated,Aflac Incorporated,Insurance - Life,12785,2.36,0.949,2350336,58641534976,0.22015,2.3667629,3808999936,17301999616,49.275,0.0235,0.16038,2868499968,2956000000,0.45196998,0.690284915058635
A,0.14492445249515032,0.28686647701024104,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",Diagnostics & Research,17400,0.66,1.055,1183962,40343724032,0.21747999,6.8392596,1412999936,6496999936,52.787,0.07579,0.24658,879500032,1786000000,0.54394,0.5051982859955315
APD,0.15888913000134647,0.27839402804006524,"Air Products and Chemicals, Inc.","Air Products and Chemicals, Inc.",Specialty Chemicals,20700,2.26,0.83,1502752,68110340096,0.21239,4.5102167,2563500032,12104399872,88.299,0.05104,0.16211,-2739350016,3692600064,0.31665,0.5707346925505163
ABNB,0.10354172654640446,0.49515717138923754,"Airbnb, Inc.","Airbnb, Inc.",Travel Services,6907,,1.172,4987751,87160537088,0.46111,10.919896,4844000256,10504999936,28.418,0.04205,0.74175,3157874944,4361999872,0.82588995,0.2091088093420977
AKAM,0.10649261287794652,0.288281969341955,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",Software - Infrastructure,10250,,0.676,2301095,15298064384,0.16012,3.2256622,628812992,3927051008,97.073,0.04657,0.13906,571351232,1531469952,0.59946,0.36940434783705417
ALB,0.08301695864083193,0.48898803500620885,Albemarle Corporation,Albemarle Corporation,Specialty Chemicals,9000,1.15,1.545,1544905,11727442944,-0.06716,1.3048084,-554169024,7457882112,31.868,-0.045089997,-0.04103,-2503864320,991480000,-0.08176,0.16977298563098345
ARE,0.05157318217704976,0.2841850191286053,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc.",REIT - Office,568,3.15,1.172,792030,19894904832,0.09618,1.0763383,282550016,3085452032,58.757,0.01397,0.02132,1365915392,1658962944,0.71103996,0.18147748370124606
ALGN,0.1340371701819845,0.5240418738574774,"Align Technology, Inc.","Align Technology, Inc.",Medical Instruments & Supplies,21610,,1.645,651163,15846989824,0.111490004,4.0197434,441568992,3960518912,2.445,0.06696,0.11401,394523136,499051008,0.7032,0.25577568676971474
ALLE,0.13844699887312242,0.28668580984937814,Allegion plc,Allegion plc,Security & Protection Services,12200,1.3,1.124,532548,12248337408,0.15359999,7.7961597,572000000,3724000000,162.864,0.10704,0.40822,483849984,675500032,0.43960997,0.4829223983770285
